month,P1_hc,P1_hc_pct,P1_adoption,P1_net_$,P1_trust,P1_proficiency,P1_productivity,P2_hc,P2_hc_pct,P2_adoption,P2_net_$,P2_trust,P2_proficiency,P2_productivity,P3_hc,P3_hc_pct,P3_adoption,P3_net_$,P3_trust,P3_proficiency,P3_productivity,P4_hc,P4_hc_pct,P4_adoption,P4_net_$,P4_trust,P4_proficiency,P4_productivity,P5_hc,P5_hc_pct,P5_adoption,P5_net_$,P5_trust,P5_proficiency,P5_productivity
24,505,93.5,0.2271,558469.0,39.3,32.0,103.0,474,87.8,0.3847,2524063.0,41.5,35.3,104.9,461,85.4,0.452,4410904.0,43.5,38.3,106.3,540,100.0,0.3356,-1706504.0,40.6,33.8,104.3,456,84.4,0.4522,5485153.0,43.7,38.5,106.3
25,505,93.5,0.2292,712316.0,39.6,32.3,103.0,474,87.8,0.389,2821405.0,41.9,35.9,105.0,461,85.4,0.4569,4767895.0,43.9,38.9,106.3,540,100.0,0.3399,-1712011.0,40.9,34.4,104.3,456,84.4,0.4576,5873716.0,44.1,39.1,106.3
26,505,93.5,0.2315,866126.0,39.8,32.7,103.1,474,87.8,0.3936,3118672.0,42.3,36.5,105.1,461,85.4,0.4623,5124799.0,44.4,39.6,106.4,540,100.0,0.3442,-1717587.0,41.3,34.9,104.4,456,84.4,0.463,6262192.0,44.5,39.8,106.4
27,505,93.5,0.2338,1019899.0,40.1,33.1,103.1,470,87.0,0.3982,3437531.0,42.7,37.1,105.1,458,84.8,0.4678,5496197.0,44.8,40.2,106.5,540,100.0,0.3484,-1723231.0,41.6,35.4,104.5,452,83.7,0.4685,6670578.0,45.0,40.4,106.5
28,505,93.5,0.2359,1173637.0,40.3,33.4,103.1,470,87.0,0.402,3756328.0,43.1,37.7,105.2,458,84.8,0.4727,5867515.0,45.3,40.9,106.6,540,100.0,0.3525,-1728942.0,41.9,36.0,104.6,450,83.3,0.4732,7090222.0,45.4,41.1,106.6
29,505,93.5,0.2375,1327349.0,40.5,33.8,103.2,470,87.0,0.4065,4075052.0,43.5,38.3,105.3,458,84.8,0.4783,6238744.0,45.7,41.5,106.6,540,100.0,0.3566,-1734719.0,42.3,36.5,104.6,450,83.3,0.4783,7509784.0,45.9,41.7,106.6
30,505,93.5,0.2391,1481036.0,40.8,34.2,103.2,468,86.7,0.411,4402537.0,43.9,38.8,105.3,456,84.4,0.4838,6618716.0,46.2,42.1,106.7,540,100.0,0.3607,-1740562.0,42.7,37.0,104.7,448,83.0,0.4839,7935589.0,46.3,42.3,106.7
31,505,93.5,0.2407,1634697.0,41.0,34.5,103.2,468,86.7,0.4151,4729956.0,44.3,39.4,105.4,456,84.4,0.489,6998604.0,46.6,42.8,106.8,540,100.0,0.3648,-1746472.0,43.0,37.5,104.7,448,83.0,0.489,8361310.0,46.8,43.0,106.8
32,505,93.5,0.2422,1788333.0,41.3,34.9,103.3,468,86.7,0.4195,5057303.0,44.7,40.0,105.4,456,84.4,0.4946,7378402.0,47.1,43.4,106.9,540,100.0,0.3688,-1752447.0,43.4,38.1,104.8,442,81.9,0.4946,8815441.0,47.2,43.6,106.8
33,503,93.1,0.2438,1952193.0,41.5,35.3,103.3,465,86.1,0.424,5396827.0,45.1,40.6,105.5,450,83.3,0.5002,7785526.0,47.5,44.0,106.9,540,100.0,0.3729,-1758488.0,43.7,38.6,104.9,442,81.9,0.4989,9269502.0,47.6,44.2,106.9
34,503,93.1,0.2452,2116031.0,41.8,35.7,103.3,465,86.1,0.4279,5736289.0,45.5,41.2,105.6,450,83.3,0.5046,8192578.0,48.0,44.7,107.0,540,100.0,0.377,-1764596.0,44.1,39.1,104.9,442,81.9,0.5045,9723472.0,48.1,44.8,107.0
35,503,93.1,0.2468,2279843.0,42.0,36.0,103.3,465,86.1,0.4324,6075678.0,45.9,41.7,105.6,450,83.3,0.5102,8599539.0,48.4,45.3,107.1,540,100.0,0.3811,-1770770.0,44.5,39.7,105.0,442,81.9,0.5101,10177351.0,48.5,45.5,107.1
36,502,93.0,0.2483,2447630.0,42.2,36.4,103.4,464,85.9,0.4368,6420161.0,46.3,42.3,105.7,448,83.0,0.5159,9016658.0,48.9,45.9,107.2,540,100.0,0.3852,-1777010.0,44.8,40.2,105.0,442,81.9,0.5158,10631139.0,49.0,46.1,107.1
