scenario_id,scenario_name,family,direction,status,error,hc_reduced,final_hc,net_savings,total_investment,total_savings,payback_month,final_proficiency,final_trust
SC-ST.1,Compressed Timeline: 24 Months,stress_test,forward,pass,,74,466,3827054.0,1723196.0,5550250.0,12,37.1,42.7
SC-ST.2,Compressed Timeline: 12 Months,stress_test,forward,pass,,47,493,103206.0,1656794.0,1760000.0,12,29.9,38.0
SC-ST.3,50% HC Reduction Target (Claims),stress_test,inverse,pass,,97,443,8517131.0,3012785.0,11529917.0,11,45.8,48.8
SC-ST.4,50% HC Reduction Target (All Functions),stress_test,inverse,pass,,272,1098,30472010.0,8884740.0,39356750.0,9,59.6,60.7
SC-ST.5,Rapid Automation: k=1.0 (Near-Instant),stress_test,forward,pass,,71,469,6805511.0,1782656.0,8588167.0,12,43.0,46.7
SC-ST.6,Low Readiness + Fast Change,stress_test,forward,pass,,91,449,8832517.0,1816067.0,10648583.0,11,45.5,48.6
SC-ST.7,Triple AI Error Sequence,stress_test,forward,pass,,62,478,4978942.0,2490725.0,7469667.0,15,39.6,33.9
SC-ST.8,30% HC Reduction in 18 Months,stress_test,inverse,pass,,79,461,2043627.0,2139289.0,4182917.0,12,34.0,40.7
SC-ST.9,Maximum Human System (Best Case),stress_test,forward,pass,,76,464,6420161.0,1777089.0,8197250.0,15,42.3,46.3
SC-ST.10,Zero Budget Constraint,stress_test,forward,pass,,47,493,3321162.0,1728838.0,5050000.0,19,38.2,43.4
