id,family,name,direction,status,hc_reduced,final_hc,net_savings,total_invest,total_savings,payback,final_prof,final_trust,final_ready,avg_damp,prod_valley,final_eff_pct,final_raw_pct,final_hmult,months
SC-4.1,automation_target,Reach 35% Automation,inverse,OK,58,1312,-7964116.666666667,14467200.0,6503083.333333333,0,42.50899734873868,50.88305644146971,57.59441420449001,0.1671,100.15040048673849,20.39,100.0,0.2448,37
SC-3.1,budget_constraint,$2M Optimized Allocation,optimization,OK,41,1329,-8673633.333333334,11014800.0,2341166.6666666665,0,38.08594413480152,48.48815239545818,56.74137505939067,0.1535,100.1007192141969,15.39,89.41,0.2161,25
SC-3.2,budget_constraint,Budget Allocation Comparison (3-way),comparison,OK,47,1323,-9493533.333333332,14467200.0,4973666.666666668,0,41.2802492880841,50.20583690371059,57.66455633431366,0.1639,100.1007192141969,17.64,89.98,0.238,37
SC-5.3,output_target,"+20% Output, -15% HC in Claims",inverse,OK,9,531,-3887016.666666667,4341600.0,454583.33333333326,0,27.829377617831504,36.493996841246584,46.81039462737334,0.071,100.15950089137021,7.83,100.0,0.1303,25
SC-12.2,composite,$15M in 24 Months (What Does It Take?),inverse,OK,48,1322,-7240300.0,11014800.0,3774499.9999999995,0,39.35418845973522,49.162161289711435,56.694708771612895,0.1566,100.18193970415179,17.97,100.0,0.2231,25
SC-4.3,automation_target,Task Category Targets,inverse,OK,58,1312,-7964116.666666667,14467200.0,6503083.333333333,0,42.50899734873868,50.88305644146971,57.59441420449001,0.1671,100.15040048673849,20.39,100.0,0.2448,37
SC-9.1a,sequencing,Sequence: Claims → Finance → People,forward,OK,15,950,-8888566.666666668,10190400.0,1301833.333333333,0,30.228307368272613,42.57597757445364,52.805992396841745,0.0944,100.08269732146664,9.98,89.98,0.1596,37
SC-9.1b,sequencing,Sequence: People → Finance → Claims,forward,OK,15,950,-8888566.666666668,10190400.0,1301833.333333333,0,30.228307368272613,42.57597757445364,52.805992396841745,0.0944,100.08269732146664,9.98,89.98,0.1596,37
SC-9.1c,sequencing,Sequence: Finance → Claims → People,forward,OK,15,950,-8888566.666666668,10190400.0,1301833.333333333,0,30.228307368272613,42.57597757445364,52.805992396841745,0.0944,100.08269732146664,9.98,89.98,0.1596,37
SC-9.3a,sequencing,Phase: Reskill → Deploy → Reduce,forward,OK,9,531,-5117066.666666667,5702400.0,585333.3333333334,0,29.127760788022126,37.192456991429346,47.7729491332687,0.074,100.13671504974589,7.68,89.98,0.1392,37
SC-9.3b,sequencing,Phase: Deploy → Reskill → Reduce,forward,OK,9,531,-5117066.666666667,5702400.0,585333.3333333334,0,29.127760788022126,37.192456991429346,47.7729491332687,0.074,100.13671504974589,7.68,89.98,0.1392,37
SC-9.3c,sequencing,Phase: Deploy → Reduce → Reskill,forward,OK,4,536,-5368650.0,5702400.0,333750.0,0,27.878070104730515,36.5203672959052,47.8760878008801,0.0724,100.13671504974589,4.84,60.0,0.1335,37
SC-7.2,function_transformation,Which Function First? (3-way comparison),comparison,OK,12,953,-6217866.666666667,6542700.0,324833.3333333333,0,26.95639613771121,40.94990874575951,51.39615172153449,0.087,100.08269732146664,8.03,86.62,0.1385,19
SC-8.2,skill_intervention,Reskill vs. Hire vs. Contract (AI Ops),comparison,OK,0,945,-3515400.0,3515400.0,0.0,0,42.5,50.0,59.49999999999996,1.0,100.0,0,0.0,0.2529,25
SC-10.1,sensitivity,Readiness Sweep (20→90),sensitivity,OK,9,531,-5117066.666666667,5702400.0,585333.3333333334,0,29.127760788022126,37.192456991429346,47.7729491332687,0.074,100.13671504974589,7.68,89.98,0.1392,37
SC-10.2,sensitivity,Readiness × Proficiency Interaction,sensitivity,OK,9,531,-5117066.666666667,5702400.0,585333.3333333334,0,29.127760788022126,37.192456991429346,47.7729491332687,0.074,100.13671504974589,7.68,89.98,0.1392,37
SC-10.3,stress_test,Trust Destruction (2 AI Errors),forward,OK,4,536,-5309400.0,5702400.0,393000.0,0,28.054943093503855,26.19904537050818,47.87164084636603,0.0568,100.13671504974589,5.23,89.98,0.1343,37
SC-10.4,stress_test,Attrition Shock (15% Tech Loss),forward,OK,31,374,1325450.0,4276800.0,5602250.0,26,68.5266647377717,71.35175065995185,72.47578999709877,0.4345,100.39878584218323,42.4,89.98,0.4967,37
SC-10.5,stress_test,Breakpoint: HC Reduction Limit,sensitivity,OK,10,530,-4682900.0,5702400.0,1019500.0000000001,0,30.082347246519877,37.711047642265235,47.749630223494435,0.0759,100.20413976689406,8.91,100.0,0.1436,37
SC-11.1,regulatory,New Compliance Requirements (+30 tasks),forward,OK,9,531,-5117066.666666667,5702400.0,585333.3333333334,0,29.127760788022126,37.192456991429346,47.7729491332687,0.074,100.13671504974589,7.68,89.98,0.1392,37
SC-11.2,regulatory,AI Now Permitted for Claims Triage,forward,OK,7,533,-2290400.0,2786400.0,496000.0,0,29.129702889026394,37.19350715062302,47.81434165241149,0.074,100.13671504974589,7.68,89.98,0.1393,37
SC-12.4,competitive,Competitor Match: 50% Claims Automation,inverse,OK,8,532,-3345033.3333333335,3661200.0,316166.6666666667,0,27.142384135070067,36.12779929651078,46.35097353896286,0.0697,100.18228673299453,7.49,100.0,0.1258,19
SC-12.1,composite,Full 36-Month Transformation Program,forward,OK,58,1312,-7964116.666666667,14467200.0,6503083.333333333,0,42.50899734873868,50.88305644146971,57.59441420449001,0.1671,100.15040048673849,20.39,100.0,0.2448,37
SC-12.3,composite,3-Year with Moving Ceiling (Annual Reassessment),forward,OK,58,1312,-8527366.666666668,14467200.0,5939833.333333333,0,42.091832273486,50.65189820975384,57.59535100091833,0.1654,100.1007192141969,20.11,100.0,0.2424,37
SC-7.3,function_transformation,Claims-to-Payment Workflow Automation,forward,OK,13,766,-3685810.0,4393560.0,707750.0,0,30.823080427057164,39.2653781108305,49.322722756976596,0.0886,100.19842670414508,9.83,100.0,0.152,25
SC-7.4,org_restructure,Merge Claims Processing + Review,forward,OK,0,540,-1911600.0,1911600.0,0.0,0,25.0,35.0,46.51999999999997,1.0,100.0,0,0.0,0.1163,19
SC-6.2,role_transformation,Eliminate Claims Data Entry Clerk,forward,OK,4,536,-2232050.0,2332800.0,100750.0,0,26.014474170812736,35.5314947991756,45.95540222849982,0.0678,100.20413976689406,5.38,76.71,0.1196,13
SC-6.3,role_transformation,Create AI Operations Specialist Role,forward,OK,0,945,-3175200.0,3175200.0,0.0,0,42.5,50.0,58.53999999999998,1.0,100.0,0,0.0,0.2488,13
SC-6.4,role_transformation,Role Vacancy: Claims Examiner Attrition,forward,OK,0,540,-1814400.0,1814400.0,0.0,0,25.0,35.0,46.03999999999998,1.0,100.0,0,0.0,0.1151,13
SC-2.4,headcount_target,Flatten Management Layers,forward,OK,12,1358,-4394716.666666667,4849800.0,455083.33333333326,0,35.57830407079285,47.18176921229955,56.44451704662536,0.1482,100.11682741533951,7.67,49.26,0.2008,19
